stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
6_42 Sur IMSS_0005,,Stop 5 - 6_42 Sur IMSS,20.959342867253522,-89.61619285796783,0,,0
6_42 Sur IMSS_0006,,Stop 6 - 6_42 Sur IMSS,20.958817077640944,-89.61435405566705,0,,0
6_42 Sur IMSS_0007,,Stop 7 - 6_42 Sur IMSS,20.9576426140223,-89.61374184901341,0,,0
6_42 Sur IMSS_0008,,Stop 8 - 6_42 Sur IMSS,20.955893147795706,-89.61421694246464,0,,0
6_42 Sur IMSS_0009,,Stop 9 - 6_42 Sur IMSS,20.954130871361393,-89.614633426871,0,,0
6_42 Sur IMSS_0010,,Stop 10 - 6_42 Sur IMSS,20.95234777824231,-89.61488014811724,0,,0
6_42 Sur IMSS_0011,,Stop 11 - 6_42 Sur IMSS,20.950583833952244,-89.61463902711537,0,,0
6_42 Sur IMSS_0012,,Stop 12 - 6_42 Sur IMSS,20.94887062596227,-89.61403728425424,0,,0
6_42 Sur IMSS_0013,,Stop 13 - 6_42 Sur IMSS,20.94718202501036,-89.61336278776,0,,0
6_42 Sur IMSS_0014,,Stop 14 - 6_42 Sur IMSS,20.94544094631433,-89.61285558540158,0,,0
6_42 Sur IMSS_0015,,Stop 15 - 6_42 Sur IMSS,20.943704627354983,-89.61233009183853,0,,0
6_42 Sur IMSS_0016,,Stop 16 - 6_42 Sur IMSS,20.941955305199528,-89.61185452063691,0,,0
6_42 Sur IMSS_0017,,Stop 17 - 6_42 Sur IMSS,20.94022283831423,-89.61131550743058,0,,0
6_42 Sur IMSS_0018,,Stop 18 - 6_42 Sur IMSS,20.93848723220878,-89.61078724008156,0,,0
6_42 Sur IMSS_0019,,Stop 19 - 6_42 Sur IMSS,20.93673939166424,-89.6103058688041,0,,0
6_42 Sur IMSS_0020,,Stop 20 - 6_42 Sur IMSS,20.934992276943493,-89.60982163207218,0,,0
6_42 Sur IMSS_0021,,Stop 21 - 6_42 Sur IMSS,20.93325083179837,-89.60931427797239,0,,0
6_42 Sur IMSS_0022,,Stop 22 - 6_42 Sur IMSS,20.931508192181546,-89.60881159279475,0,,0
6_42 Sur IMSS_0023,,Stop 23 - 6_42 Sur IMSS,20.929768931788285,-89.60829585057245,0,,0
6_42 Sur IMSS_0024,,Stop 24 - 6_42 Sur IMSS,20.928020846746833,-89.60782216626052,0,,0
6_42 Sur IMSS_0025,,Stop 25 - 6_42 Sur IMSS,20.926277913746397,-89.60732518426923,0,,0
6_42 Sur IMSS_0026,,Stop 26 - 6_42 Sur IMSS,20.92453914469647,-89.60680826415148,0,,0
6_42 Sur IMSS_0027,,Stop 27 - 6_42 Sur IMSS,20.923233357019484,-89.6078130612377,0,,0
6_42 Sur IMSS_0028,,Stop 28 - 6_42 Sur IMSS,20.922056688415935,-89.60927057225584,0,,0
6_42 Sur IMSS_0029,,Stop 29 - 6_42 Sur IMSS,20.922149989904756,-89.60868247357733,0,,0
6_42 Sur IMSS_0030,,Stop 30 - 6_42 Sur IMSS,20.923314106207958,-89.6072135868498,0,,0
6_42 Sur IMSS_0031,,Stop 31 - 6_42 Sur IMSS,20.924797954708247,-89.60681392419653,0,,0
6_42 Sur IMSS_0032,,Stop 32 - 6_42 Sur IMSS,20.926539943692415,-89.60731816630167,0,,0
6_42 Sur IMSS_0033,,Stop 33 - 6_42 Sur IMSS,20.928280536925854,-89.6078278631151,0,,0
6_42 Sur IMSS_0034,,Stop 34 - 6_42 Sur IMSS,20.930028602973486,-89.6083076471393,0,,0
6_42 Sur IMSS_0035,,Stop 35 - 6_42 Sur IMSS,20.931769954016385,-89.60881512446136,0,,0
6_42 Sur IMSS_0036,,Stop 36 - 6_42 Sur IMSS,20.93351057744246,-89.60932566154635,0,,0
6_42 Sur IMSS_0037,,Stop 37 - 6_42 Sur IMSS,20.93525448139944,-89.60982311730261,0,,0
6_42 Sur IMSS_0038,,Stop 38 - 6_42 Sur IMSS,20.937002926470317,-89.61030242307874,0,,0
6_42 Sur IMSS_0039,,Stop 39 - 6_42 Sur IMSS,20.938743959866382,-89.61081130373798,0,,0
6_42 Sur IMSS_0040,,Stop 40 - 6_42 Sur IMSS,20.9404808744843,-89.61133589441734,0,,0
6_42 Sur IMSS_0041,,Stop 41 - 6_42 Sur IMSS,20.942222994324474,-89.61184039224224,0,,0
6_42 Sur IMSS_0042,,Stop 42 - 6_42 Sur IMSS,20.94396374038325,-89.61235034045416,0,,0
6_42 Sur IMSS_0043,,Stop 43 - 6_42 Sur IMSS,20.945705785613434,-89.61285522036925,0,,0
6_42 Sur IMSS_0044,,Stop 44 - 6_42 Sur IMSS,20.947444701455396,-89.61337166189384,0,,0
6_42 Sur IMSS_0045,,Stop 45 - 6_42 Sur IMSS,20.94912997601108,-89.61404927095818,0,,0
6_42 Sur IMSS_0046,,Stop 46 - 6_42 Sur IMSS,20.9508579866981,-89.61428139967217,0,,0
6_42 Sur IMSS_0047,,Stop 47 - 6_42 Sur IMSS,20.952554560137354,-89.61362703792263,0,,0
