route_short_name,route_long_name,route_type,shape_id,service_window_id,frequency,direction
104,Lomas de Altamira - Tampico por Av. Hidalgo y Ayuntamiento,2,shape_104,weekday,5,1
105A,Zapata - Haciendas - Tampico por Ayuntamiento y Av. Hidalgo Zona Conurbada Tampico Madero - Altamira,2,shape_105A,weekday,5,1
105,Zapata - Haciendas - Tampico por Av. Hidalgo y Ayuntamiento,2,shape_105,weekday,5,1
110,Universidad Politécnica de Altamira - Santa Amalia - Germinal Zona Conurbada Tampico - Madero - Altamira,2,shape_110,weekday,5,1
53,Altamira,2,shape_53,weekday,5,1
109A,Aldama - Lomas del Real - Tampico por Av. Hidalgo y Ayuntamiento,2,shape_109A,weekday,5,1
103A,Pedrera - Arboledas - Tampico por Av. Hidalgo y Ayuntamiento,2,shape_103A,weekday,5,1
109,Aldama - Lomas del Real - Tampico por Ayuntamiento y Av. Hidalgo,2,shape_109,weekday,5,1
103,Pedrera - Arboledas - Tampico por Av. Hidalgo y Ayuntamiento,2,shape_103,weekday,5,1
100,Infonavit - Altamira - Tampico por Av. Hidalgo y Ayuntamiento,2,shape_100,weekday,5,1
100A,Infonavit - Altamira - Tampico por Av. Ayuntamiento y Av. Hidalgo,2,shape_100A,weekday,5,1
106,Puerto Industrial - Tampico por Av. Hidalgo y Ayuntamiento,2,shape_106,weekday,5,1
106A,Puerto Industrial - Tampico por Av. Hidalgo y Ayuntamiento,2,shape_106A,weekday,5,1
107A,Santa Amalia - Tampico por  Ayuntamiento y Av. Hidalgo,2,shape_107A,weekday,5,1
103B,Electricistas - Arboledas - Tampico por H. Ayuntamiento y Av. Hidalgo,2,shape_103B,weekday,5,1
107,Santa Amalia - Tampico por Av. Hidalgo y Ayuntamiento,2,shape_107,weekday,5,1
36,Santa Amalia - Polvorín - Madero -,2,shape_36,weekday,5,1
114A,López Mateos - Margaritas - Tampico por Ayuntamiento Av. Hidalgo,2,shape_114A,weekday,5,1
11,Tampico - Colonias - El Fuerte - Penal por Av. Hidalgo y Ayuntamiento,2,shape_11,weekday,5,1
114,López Mateos - Margaritas - Tampico por Av. Hidalgo y Ayuntamiento,2,shape_114,weekday,5,1
111A,Tampico - Colonias - El Fuerte - Penal por Av. Hidalgo y Ayuntamiento,2,shape_111A,weekday,5,1
108A,Cuauhtémoc - Tampico - Univ. Politécnica de Altamira por Ayuntamiento y Av. Hidalgo,2,shape_108A,weekday,5,1
108,Cuauhtémoc - Tampico - Universidad Politécnica de Altamira por Av. Hidalgo y Ayuntamiento Zona Conurbada Tampico - Madero - Altamira,2,shape_108,weekday,5,1
