stop_code,stop_lat,stop_lon,stop_id,stop_name,zone_id,parent_station,stop_desc,location_type
1243,22.338510682106673,-97.86616507161149,stop_left_1244,Stop 1244,merged_cluster,,,0
1244,22.331182507491672,-97.86313658145018,stop_left_1245,Stop 1245,merged_cluster,,,0
1245,22.329076733706778,-97.86226002569245,stop_left_1246,Stop 1246,merged_cluster,,,0
1246,22.323022572932544,-97.8588129613091,stop_left_1247,Stop 1247,merged_cluster,,,0
1247,22.324969999995208,-97.89984912611241,stop_left_1248,Stop 1248,merged_cluster,,,0
1248,22.31116064092418,-97.88863093437674,stop_left_1249,Stop 1249,merged_cluster,,,0
1249,22.22569414440565,-97.84259827472282,stop_left_1250,Stop 1250,merged_cluster,,,0
1250,22.3488671127921,-97.84953448219602,stop_left_1251,Stop 1251,merged_cluster,,,0
1251,22.352631101497156,-97.85001258254988,stop_left_1252,Stop 1252,merged_cluster,,,0
1252,22.35383660109512,-97.85125778697004,stop_left_1253,Stop 1253,merged_cluster,,,0
1253,22.35330131857082,-97.85467840784314,stop_left_1254,Stop 1254,merged_cluster,,,0
1254,22.34938920353861,-97.85397843248032,stop_left_1255,Stop 1255,merged_cluster,,,0
1255,22.347240503173385,-97.85619121132723,stop_left_1256,Stop 1256,merged_cluster,,,0
1256,22.34662795923531,-97.85956104246496,stop_left_1257,Stop 1257,merged_cluster,,,0
1257,22.34625784117704,-97.86173620799539,stop_left_1258,Stop 1258,merged_cluster,,,0
1258,22.342868324563916,-97.86553419188573,stop_left_1259,Stop 1259,merged_cluster,,,0
1259,22.336404186342207,-97.8652904757774,stop_left_1260,Stop 1260,merged_cluster,,,0
1260,22.329091073685326,-97.84667750087279,stop_left_1261,Stop 1261,merged_cluster,,,0
1261,22.318213594245094,-97.84980286542029,stop_left_1262,Stop 1262,merged_cluster,,,0
1262,22.318956687831715,-97.84803979937054,stop_left_1263,Stop 1263,merged_cluster,,,0
1263,22.318544529076675,-97.84564629099897,stop_left_1264,Stop 1264,merged_cluster,,,0
1264,22.31626855008127,-97.84422675106481,stop_left_1265,Stop 1265,merged_cluster,,,0
1265,22.314563349589818,-97.84363321505155,stop_left_1266,Stop 1266,merged_cluster,,,0
1266,22.312921302432404,-97.8449058761857,stop_left_1267,Stop 1267,merged_cluster,,,0
1267,22.311480810600088,-97.84677488149357,stop_left_1268,Stop 1268,merged_cluster,,,0
1268,22.310993677716862,-97.84860618462062,stop_left_1269,Stop 1269,merged_cluster,,,0
1269,22.318715381896904,-97.8533865313244,stop_left_1270,Stop 1270,merged_cluster,,,0
1270,22.32072955650029,-97.8547830759305,stop_left_1271,Stop 1271,merged_cluster,,,0
1271,22.32069939585171,-97.85645233506004,stop_left_1272,Stop 1272,merged_cluster,,,0
1272,22.32008684372905,-97.85878840108516,stop_left_1273,Stop 1273,merged_cluster,,,0
1273,22.317616244540247,-97.85815084338573,stop_left_1274,Stop 1274,merged_cluster,,,0
1274,22.315925548282117,-97.85751114245686,stop_left_1275,Stop 1275,merged_cluster,,,0
1275,22.312011422114832,-97.85763284458362,stop_left_1276,Stop 1276,merged_cluster,,,0
1276,22.34492219857191,-97.84927881141276,stop_left_1277,Stop 1277,merged_cluster,,,0
1277,22.350800993438952,-97.849698090317,stop_left_1278,Stop 1278,merged_cluster,,,0
1278,22.347680290069878,-97.8538123665496,stop_left_1279,Stop 1279,merged_cluster,,,0
1279,22.345489313191507,-97.86373843036237,stop_left_1280,Stop 1280,merged_cluster,,,0
1280,22.25477273837631,-97.86185977484544,stop_left_1281,Stop 1281,merged_cluster,,,0
1281,22.256570451078193,-97.86088384825146,stop_left_1282,Stop 1282,merged_cluster,,,0
1282,22.25860604683552,-97.86012468267994,stop_left_1283,Stop 1283,merged_cluster,,,0
1283,22.313376556797117,-97.8580167746634,stop_left_1284,Stop 1284,merged_cluster,,,0
1284,22.312435961797377,-97.85983856871096,stop_left_1285,Stop 1285,merged_cluster,,,0
1285,22.313672006819527,-97.8612725433933,stop_left_1286,Stop 1286,merged_cluster,,,0
1286,22.31554218057594,-97.86246247820078,stop_left_1287,Stop 1287,merged_cluster,,,0
1287,22.315894086648104,-97.86537588871356,stop_left_1288,Stop 1288,merged_cluster,,,0
1288,22.3510787499369,-97.85424912025073,stop_left_1289,Stop 1289,merged_cluster,,,0
1289,22.31742737434373,-97.87833941145216,stop_left_1290,Stop 1290,merged_cluster,,,0
1290,22.281680646858494,-97.86321955313058,stop_left_1291,Stop 1291,merged_cluster,,,0
1291,22.2759650311994,-97.85689036076104,stop_left_1292,Stop 1292,merged_cluster,,,0
1292,22.322422259515392,-97.85554465209253,stop_left_1293,Stop 1293,merged_cluster,,,0
1293,22.300847859455622,-97.84470770800367,stop_left_1294,Stop 1294,merged_cluster,,,0
1294,22.29148069338836,-97.84265222998714,stop_left_1295,Stop 1295,merged_cluster,,,0
1295,22.276702460789778,-97.84877429654716,stop_left_1296,Stop 1296,merged_cluster,,,0
1296,22.274579970383666,-97.84960265361106,stop_left_1297,Stop 1297,merged_cluster,,,0
1297,22.270435471522156,-97.85124138088645,stop_left_1298,Stop 1298,merged_cluster,,,0
1298,22.268258357084733,-97.85215251428227,stop_left_1299,Stop 1299,merged_cluster,,,0
1299,22.360410611762067,-97.90973267073997,stop_left_1300,Stop 1300,merged_cluster,,,0
1300,22.359277462484236,-97.91113758370675,stop_left_1301,Stop 1301,merged_cluster,,,0
1301,22.360241855086187,-97.91353424273117,stop_left_1302,Stop 1302,merged_cluster,,,0
1302,22.361952027000097,-97.914657279166,stop_left_1303,Stop 1303,merged_cluster,,,0
1303,22.362235162983605,-97.91675923186912,stop_left_1304,Stop 1304,merged_cluster,,,0
1304,22.363547196281143,-97.91478321859348,stop_left_1305,Stop 1305,merged_cluster,,,0
1305,22.36509881428445,-97.91315600792579,stop_left_1306,Stop 1306,merged_cluster,,,0
1306,22.36641455368124,-97.91251297335774,stop_left_1307,Stop 1307,merged_cluster,,,0
1307,22.36775435446205,-97.91129974003718,stop_left_1308,Stop 1308,merged_cluster,,,0
1308,22.36945608649485,-97.91075441291385,stop_left_1309,Stop 1309,merged_cluster,,,0
1309,22.37087154644922,-97.90923080980969,stop_left_1310,Stop 1310,merged_cluster,,,0
1310,22.372402348103623,-97.90877238052241,stop_left_1311,Stop 1311,merged_cluster,,,0
1311,22.366391017479252,-97.87267686231581,stop_left_1312,Stop 1312,merged_cluster,,,0
1312,22.370511276769328,-97.87639143432851,stop_left_1313,Stop 1313,merged_cluster,,,0
1313,22.372846649194063,-97.87872031906635,stop_left_1314,Stop 1314,merged_cluster,,,0
1314,22.372077868269027,-97.88185818694927,stop_left_1315,Stop 1315,merged_cluster,,,0
1315,22.370330416917323,-97.88029241254321,stop_left_1316,Stop 1316,merged_cluster,,,0
1316,22.368683688727256,-97.87921095999549,stop_left_1317,Stop 1317,merged_cluster,,,0
1317,22.369980327478608,-97.88406270535823,stop_left_1318,Stop 1318,merged_cluster,,,0
1318,22.369714767354704,-97.88220971206096,stop_left_1319,Stop 1319,merged_cluster,,,0
