route_id,service_id,trip_id,direction_id,shape_id
rLínea 1,,rLínea 1_Macrobus_Línea 1_trip_00,,
rLínea 1,,rLínea 1_SiTren_Línea 1_trip_00,,
rLínea 1,,rLínea 1_Tren Ligero_Línea 1_trip_00,,
rLínea 2,,rLínea 2_SiTren_Línea 2_trip_00,,
rLínea 2,,rLínea 2_Tren Ligero_Línea 2_trip_00,,
rLínea 3 (Ruta 400),,rLínea 3 (Ruta 400)_SiTren_Línea 3 (Ruta 400)_trip_00,,
rParques de Tesistán,,rParques de Tesistán_633_Parques de Tesistán_trip_00,,
rPremier UT VIP Class A,,rPremier UT VIP Class A_706_Premier UT VIP Class A_trip_00,,
rPremier UT VIP Class Base Aérea,,rPremier UT VIP Class Base Aérea_706_Premier UT VIP Class Base Aérea_trip_00,,
rPuerto Vallarta,,rPuerto Vallarta_11_Puerto Vallarta_trip_00,,
rPuerto Vallarta,,rPuerto Vallarta_13_Puerto Vallarta_trip_00,,
rPuerto Vallarta,,rPuerto Vallarta_21_Puerto Vallarta_trip_00,,
rPuerto Vallarta,,rPuerto Vallarta_2_Puerto Vallarta_trip_00,,
rPunta de Mita,,rPunta de Mita_Línea Puerto Vallarta_Punta de Mita_trip_00,,
rRoca,,rRoca_185_Roca_trip_00,,
rRojo,,rRojo_619_Rojo_trip_00,,
rRuta Modelo,,rRuta Modelo_13_Ruta Modelo_trip_00,,
rSanta Fe,,rSanta Fe_619_Santa Fe_trip_00,,
rTUR  ITESO,,rTUR  ITESO_709_TUR  ITESO_trip_00,,
rTUR CENT,,rTUR CENT_706_TUR CENT_trip_00,,
rTUR MIR,,rTUR MIR_707_TUR MIR_trip_00,,
rTUR RIO,,rTUR RIO_706_TUR RIO_trip_00,,
rTerranova,,rTerranova_622_Terranova_trip_00,,
rTopacio,,rTopacio_645_Topacio_trip_00,,
rTurquesa A,,rTurquesa A_703_Turquesa A_trip_00,,
rTurquesa B,,rTurquesa B_703_Turquesa B_trip_00,,
rVSS,,rVSS_175_VSS_trip_00,,
rValle Dorado,,rValle Dorado_Línea Puerto Vallarta_Valle Dorado_trip_00,,
rVerde Vía 1,,rVerde Vía 1_619_Verde Vía 1_trip_00,,
rVerde Vía 2,,rVerde Vía 2_619_Verde Vía 2_trip_00,,
rVía 1,,rVía 1_101_Vía 1_trip_00,,
rVía 1,,rVía 1_177_Vía 1_trip_00,,
rVía 1,,rVía 1_178_Vía 1_trip_00,,
rVía 1,,rVía 1_358_Vía 1_trip_00,,
rVía 1,,rVía 1_610_Vía 1_trip_00,,
rVía 1,,rVía 1_626_Vía 1_trip_00,,
rVía 1,,rVía 1_629_Vía 1_trip_00,,
rVía 2,,rVía 2_101_Vía 2_trip_00,,
rVía 2,,rVía 2_177_Vía 2_trip_00,,
rVía 2,,rVía 2_178_Vía 2_trip_00,,
rVía 2,,rVía 2_358_Vía 2_trip_00,,
rVía 2,,rVía 2_383_Vía 2_trip_00,,
rVía 2,,rVía 2_610_Vía 2_trip_00,,
rVía 2,,rVía 2_626_Vía 2_trip_00,,
rVía 2,,rVía 2_629_Vía 2_trip_00,,
rVía 2,,rVía 2_636_Vía 2_trip_00,,
rVía 2,,rVía 2_647_Vía 2_trip_00,,
rVía 3,,rVía 3_320_Vía 3_trip_00,,
rVía 3,,rVía 3_626_Vía 3_trip_00,,
rVía 3,,rVía 3_633_Vía 3_trip_00,,
rVía 3,,rVía 3_636_Vía 3_trip_00,,
rVía 4,,rVía 4_626_Vía 4_trip_00,,
rVía Arboledas,,rVía Arboledas_645_Vía Arboledas_trip_00,,
rVía Bosques de Tonalá,,rVía Bosques de Tonalá_614_Vía Bosques de Tonalá_trip_00,,
rVía Centro,,rVía Centro_45_Vía Centro_trip_00,,
rVía Circuito Atemajac,,rVía Circuito Atemajac_641_Vía Circuito Atemajac_trip_00,,
rVía Colonia Morelos,,rVía Colonia Morelos_360_Vía Colonia Morelos_trip_00,,
rVía Cucea,,rVía Cucea_641_Vía Cucea_trip_00,,
rVía Directa,,rVía Directa_623_Vía Directa_trip_00,,
rVía Esteban Alatorre,,rVía Esteban Alatorre_360_Vía Esteban Alatorre_trip_00,,
rVía Fraccionamiento La Cruz,,rVía Fraccionamiento La Cruz_37_Vía Fraccionamiento La Cruz_trip_00,,
rVía Hacienda de Tala,,rVía Hacienda de Tala_320_Vía Hacienda de Tala_trip_00,,
rVía Hacienda del Valle,,rVía Hacienda del Valle_636_Vía Hacienda del Valle_trip_00,,
rVía Jardines de la Reina,,rVía Jardines de la Reina_612_Vía Jardines de la Reina_trip_00,,
rVía Juan de Dios Robledo,,rVía Juan de Dios Robledo_614_Vía Juan de Dios Robledo_trip_00,,
rVía La Venta,,rVía La Venta_629_Vía La Venta_trip_00,,
rVía Las Palmas,,rVía Las Palmas_612_Vía Las Palmas_trip_00,,
rVía Nuevo Zalatitán,,rVía Nuevo Zalatitán_45_Vía Nuevo Zalatitán_trip_00,,
rVía Praderas,,rVía Praderas_633_Vía Praderas_trip_00,,
rVía Prepa 13,,rVía Prepa 13_645_Vía Prepa 13_trip_00,,
rVía Santa Anita,,rVía Santa Anita_175_Vía Santa Anita_trip_00,,
rVía Santa Fe,,rVía Santa Fe_171_Vía Santa Fe_trip_00,,
rVía Tonaltecas,,rVía Tonaltecas_275_Vía Tonaltecas_trip_00,,
rVía Tutelar,,rVía Tutelar_640_Vía Tutelar_trip_00,,
rVía Urbiquintas,,rVía Urbiquintas_643_Vía Urbiquintas_trip_00,,
rVía Vallarta,,rVía Vallarta_45_Vía Vallarta_trip_00,,
rVía Valle Dorado,,rVía Valle Dorado_171_Vía Valle Dorado_trip_00,,
rVía Villa del Centinela,,rVía Villa del Centinela_637_Vía Villa del Centinela_trip_00,,
rVía Villas de la Loma,,rVía Villas de la Loma_633_Vía Villas de la Loma_trip_00,,
r,,r_110__trip_00,,
r,,r_136__trip_00,,
r,,r_142__trip_00,,
r,,r_156__trip_00,,
r,,r_15__trip_00,,
r,,r_160__trip_00,,
r,,r_161__trip_00,,
r,,r_162__trip_00,,
r,,r_163__trip_00,,
r,,r_165__trip_00,,
r,,r_166__trip_00,,
r,,r_167__trip_00,,
r,,r_169__trip_00,,
r,,r_172__trip_00,,
r,,r_174__trip_00,,
r,,r_176__trip_00,,
r,,r_179__trip_00,,
r,,r_186__trip_00,,
r,,r_187__trip_00,,
r,,r_188__trip_00,,
r,,r_19__trip_00,,
r,,r_200__trip_00,,
r,,r_207__trip_00,,
r,,r_214__trip_00,,
r,,r_231__trip_00,,
r,,r_249__trip_00,,
r,,r_24__trip_00,,
r,,r_258__trip_00,,
r,,r_25__trip_00,,
r,,r_27__trip_00,,
r,,r_300__trip_00,,
r,,r_330__trip_00,,
