end_time,exact_times,headway_secs,start_time,trip_id
08:00:00,1,900,06:00:00,rA CAL_186_A CAL_trip_00
08:00:00,1,900,06:00:00,rA Circunvalación Atemajac_641_A Circunvalación Atemajac_trip_00
08:00:00,1,900,06:00:00,rA Floresta – Guadalupe_51_A Floresta – Guadalupe_trip_00
08:00:00,1,900,06:00:00,rA Gavilanes_175_A Gavilanes_trip_00
08:00:00,1,900,06:00:00,rA Km 13_644_A Km 13_trip_00
08:00:00,1,900,06:00:00,rA Miramar – Guadalupe_51_A Miramar – Guadalupe_trip_00
08:00:00,1,900,06:00:00,rA Palmiras_623_A Palmiras_trip_00
08:00:00,1,900,06:00:00,rA Vía 1_178_A Vía 1_trip_00
08:00:00,1,900,06:00:00,rA Vía 1_182_A Vía 1_trip_00
08:00:00,1,900,06:00:00,rA Vía 2_178_A Vía 2_trip_00
08:00:00,1,900,06:00:00,rA Vía 2_182_A Vía 2_trip_00
08:00:00,1,900,06:00:00,rA Vía 2_24_A Vía 2_trip_00
08:00:00,1,900,06:00:00,rA Vía 2_360_A Vía 2_trip_00
08:00:00,1,900,06:00:00,rA Vía 2_636_A Vía 2_trip_00
08:00:00,1,900,06:00:00,rA Vía Alamo_644_A Vía Alamo_trip_00
08:00:00,1,900,06:00:00,rA Vía Base Aérea_39_A Vía Base Aérea_trip_00
08:00:00,1,900,06:00:00,rA Vía Belenes_641_A Vía Belenes_trip_00
08:00:00,1,900,06:00:00,rA Vía Chula Vista_176_A Vía Chula Vista_trip_00
08:00:00,1,900,06:00:00,rA Vía Coronilla Sor Juana Inés_636_A Vía Coronilla Sor Juana Inés_trip_00
08:00:00,1,900,06:00:00,rA Vía Curva_644_A Vía Curva_trip_00
08:00:00,1,900,06:00:00,rA Vía Directa Antonio Caso_45_A Vía Directa Antonio Caso_trip_00
08:00:00,1,900,06:00:00,rA Vía El Tapatío_644_A Vía El Tapatío_trip_00
08:00:00,1,900,06:00:00,rA Vía Guadalupe Gallo_619_A Vía Guadalupe Gallo_trip_00
08:00:00,1,900,06:00:00,rA Vía Huentitán el Alto_603_A Vía Huentitán el Alto_trip_00
08:00:00,1,900,06:00:00,rA Vía Las Liebres_644_A Vía Las Liebres_trip_00
08:00:00,1,900,06:00:00,rA Vía Los Olivos_623_A Vía Los Olivos_trip_00
08:00:00,1,900,06:00:00,rA Vía López Mateos_186_A Vía López Mateos_trip_00
08:00:00,1,900,06:00:00,rA Vía Magdalena_24_A Vía Magdalena_trip_00
08:00:00,1,900,06:00:00,rA Vía Mesas_636_A Vía Mesas_trip_00
