route_short_name,route_long_name,route_type,shape_id,service_window_id,frequency,direction
_179_,179___179_,2,shape_542,weekday,5,1
A Vía 1_182_A Vía 1,182_A Vía 1_A Vía 1_182_A Vía 1,2,shape_543,weekday,5,1
A Vía 2_182_A Vía 2,182_A Vía 2_A Vía 2_182_A Vía 2,2,shape_544,weekday,5,1
A_183_A,183_A_A_183_A,2,shape_545,weekday,5,1
LM_185_LM,185_LM_LM_185_LM,2,shape_546,weekday,5,1
Roca_185_Roca,185_Roca_Roca_185_Roca,2,shape_547,weekday,5,1
GF_186_GF,186_GF_GF_186_GF,2,shape_548,weekday,5,1
A CAL_186_A CAL,186_A CAL_A CAL_186_A CAL,2,shape_549,weekday,5,1
A Vía López Mateos_186_A Vía López Mateos,186_A Vía López Mateos_A Vía López Mateos_186_A Vía López Mateos,2,shape_550,weekday,5,1
B_186_B,186_B_B_186_B,2,shape_551,weekday,5,1
_186_,186___186_,2,shape_552,weekday,5,1
_187_,187___187_,2,shape_553,weekday,5,1
B_187_B,187_B_B_187_B,2,shape_554,weekday,5,1
_188_,188___188_,2,shape_555,weekday,5,1
_200_,200___200_,2,shape_421,weekday,5,1
_207_,207___207_,2,shape_556,weekday,5,1
_214_,214___214_,2,shape_557,weekday,5,1
_231_,231___231_,2,shape_558,weekday,5,1
A_231_A,231_A_A_231_A,2,shape_559,weekday,5,1
C_231_C,231_C_C_231_C,2,shape_560,weekday,5,1
_249_,249___249_,2,shape_563,weekday,5,1
_258_,258___258_,2,shape_564,weekday,5,1
A_258_A,258_A_A_258_A,2,shape_565,weekday,5,1
D_258_D,258_D_D_258_D,2,shape_498,weekday,5,1
B_258_B,258_B_B_258_B,2,shape_499,weekday,5,1
B_275_B,275_B_B_275_B,2,shape_568,weekday,5,1
F Nextipac_275_F Nextipac,275_F Nextipac_F Nextipac_275_F Nextipac,2,shape_569,weekday,5,1
Vía Tonaltecas_275_Vía Tonaltecas,275_Vía Tonaltecas_Vía Tonaltecas_275_Vía Tonaltecas,2,shape_570,weekday,5,1
F_275_F,275_F_F_275_F,2,shape_497,weekday,5,1
A_275_A,275_A_A_275_A,2,shape_503,weekday,5,1
_300_,300___300_,2,shape_420,weekday,5,1
A_320_A,320_A_A_320_A,2,shape_574,weekday,5,1
Vía Hacienda de Tala_320_Vía Hacienda de Tala,320_Vía Hacienda de Tala_Vía Hacienda de Tala_320_Vía Hacienda de Tala,2,shape_419,weekday,5,1
Vía 3_320_Vía 3,320_Vía 3_Vía 3_320_Vía 3,2,shape_425,weekday,5,1
_330_,330___330_,2,shape_577,weekday,5,1
A_330_A,330_A_A_330_A,2,shape_578,weekday,5,1
_333_,333___333_,2,shape_579,weekday,5,1
A_333_A,333_A_A_333_A,2,shape_496,weekday,5,1
Vía 2_358_Vía 2,358_Vía 2_Vía 2_358_Vía 2,2,shape_426,weekday,5,1
