stop_id,stop_name,stop_lon,stop_lat,route,sequence
st_r7_shape_7_0058,st_r7_shape_7_0058,-97.8216597150777,22.2817325338701,r7,58
st_r7_shape_7_0059,st_r7_shape_7_0059,-97.8202529524507,22.2824747379515,r7,59
st_r7_shape_7_0060,st_r7_shape_7_0060,-97.8187728207258,22.2836435007636,r7,60
st_r7_shape_7_0061,st_r7_shape_7_0061,-97.817292664578,22.2848122488403,r7,61
st_r7_shape_7_0062,st_r7_shape_7_0062,-97.8158124840061,22.285980982179,r7,62
st_r7_shape_7_0063,st_r7_shape_7_0063,-97.8143322790088,22.2871497007776,r7,63
st_r7_shape_7_0064,st_r7_shape_7_0064,-97.8128491129393,22.2883151530917,r7,64
st_r7_shape_7_0065,st_r7_shape_7_0065,-97.8113573578116,22.2894711074484,r7,65
st_r7_shape_7_0066,st_r7_shape_7_0066,-97.8098655783549,22.2906270468542,r7,66
st_r7_shape_7_0067,st_r7_shape_7_0067,-97.8083737745682,22.2917829713068,r7,67
st_r7_shape_7_0068,st_r7_shape_7_0068,-97.8068328371342,22.2927526321465,r7,68
st_r7_shape_7_0069,st_r7_shape_7_0069,-97.8080831560649,22.2922357147933,r7,69
st_r7_shape_7_0070,st_r7_shape_7_0070,-97.80951258968,22.29101343829,r7,70
st_r7_shape_7_0071,st_r7_shape_7_0071,-97.8109988616124,22.2898514846684,r7,71
st_r7_shape_7_0072,st_r7_shape_7_0072,-97.8124970233122,22.2887027241115,r7,72
st_r7_shape_7_0073,st_r7_shape_7_0073,-97.8139951607439,22.2875539484917,r7,73
st_r7_shape_7_0074,st_r7_shape_7_0074,-97.8154932739085,22.2864051578113,r7,74
st_r7_shape_7_0075,st_r7_shape_7_0075,-97.8162703666542,22.288049327257,r7,75
st_r7_shape_7_0076,st_r7_shape_7_0076,-97.8170398706371,22.2897077683764,r7,76
st_r7_shape_7_0077,st_r7_shape_7_0077,-97.8177516021129,22.2913884842014,r7,77
st_r7_shape_7_0078,st_r7_shape_7_0078,-97.8186090366385,22.2922589643787,r7,78
st_r7_shape_7_0079,st_r7_shape_7_0079,-97.8196203856364,22.293587660302,r7,79
st_r7_shape_7_0080,st_r7_shape_7_0080,-97.821545020412,22.2936815184206,r7,80
st_r7_shape_7_0081,st_r7_shape_7_0081,-97.8209880990176,22.2947414038061,r7,81
st_r7_shape_7_0082,st_r7_shape_7_0082,-97.8196165400197,22.2954654008579,r7,82
st_r7_shape_7_0083,st_r7_shape_7_0083,-97.8193824741466,22.2968829636906,r7,83
st_r7_shape_7_0084,st_r7_shape_7_0084,-97.8196070699724,22.2953707003521,r7,84
st_r7_shape_7_0085,st_r7_shape_7_0085,-97.8210898388134,22.2947323447967,r7,85
st_r7_shape_7_0086,st_r7_shape_7_0086,-97.8214565255609,22.2936490338592,r7,86
st_r7_shape_7_0087,st_r7_shape_7_0087,-97.8195193329037,22.2935734275712,r7,87
st_r7_shape_7_0088,st_r7_shape_7_0088,-97.8185717508542,22.2921704099423,r7,88
st_r7_shape_7_0089,st_r7_shape_7_0089,-97.8177141304309,22.291299997848,r7,89
st_r7_shape_7_0090,st_r7_shape_7_0090,-97.8170023998064,22.2896192818798,r7,90
st_r7_shape_7_0091,st_r7_shape_7_0091,-97.8162296249966,22.2879621018427,r7,91
st_r7_shape_7_0092,st_r7_shape_7_0092,-97.8154144017675,22.2864656397831,r7,92
st_r7_shape_7_0093,st_r7_shape_7_0093,-97.8139162873253,22.2876144296707,r7,93
st_r7_shape_7_0094,st_r7_shape_7_0094,-97.812418148616,22.2887632044975,r7,94
st_r7_shape_7_0095,st_r7_shape_7_0095,-97.8109199856385,22.2899119642613,r7,95
st_r7_shape_7_0096,st_r7_shape_7_0096,-97.8094373333963,22.2910777891178,r7,96
st_r7_shape_7_0097,st_r7_shape_7_0097,-97.8080078984772,22.2923000648912,r7,97
st_r7_shape_7_0098,st_r7_shape_7_0098,-97.8068907568506,22.2926742702619,r7,98
st_r7_shape_7_0099,st_r7_shape_7_0099,-97.8084523157446,22.2917221145042,r7,99
st_r7_shape_7_0100,st_r7_shape_7_0100,-97.8099441182504,22.2905661892643,r7,100
st_r7_shape_7_0101,st_r7_shape_7_0101,-97.8114358964261,22.2894102490713,r7,101
st_r7_shape_7_0102,st_r7_shape_7_0102,-97.812927650273,22.2882542939276,r7,102
