stop_code,stop_lat,stop_lon,stop_id,stop_name,zone_id,parent_station,stop_desc,location_type
0000,22.209196,-97.844766,stop_left_0001,Stop 1,merged_cluster,,,0
0003,22.210877,-97.846005,stop_left_0004,Stop 4,merged_cluster,,,0
0004,22.213285,-97.849042,stop_left_0005,Stop 5,merged_cluster,,,0
0005,22.212175,-97.849720,stop_left_0006,Stop 6,merged_cluster,,,0
0006,22.214650,-97.851593,stop_left_0007,Stop 7,merged_cluster,,,0
0007,22.214623,-97.853656,stop_left_0008,Stop 8,merged_cluster,,,0
0008,22.212535,-97.855752,stop_left_0009,Stop 9,merged_cluster,,,0
0009,22.213634,-97.858347,stop_left_0010,Stop 10,merged_cluster,,,0
0011,22.210876,-97.850263,stop_left_0012,Stop 12,merged_cluster,,,0
0012,22.226058,-97.871576,stop_left_0013,Stop 13,merged_cluster,,,0
0013,22.225094,-97.870219,stop_left_0014,Stop 14,merged_cluster,,,0
0014,22.222937,-97.869503,stop_left_0015,Stop 15,merged_cluster,,,0
0015,22.219915,-97.868840,stop_left_0016,Stop 16,merged_cluster,,,0
0016,22.218539,-97.864875,stop_left_0017,Stop 17,merged_cluster,,,0
0017,22.217562,-97.862689,stop_left_0018,Stop 18,merged_cluster,,,0
0018,22.216584,-97.860502,stop_left_0019,Stop 19,merged_cluster,,,0
0019,22.215561,-97.858322,stop_left_0020,Stop 20,merged_cluster,,,0
0020,22.215624,-97.863443,stop_left_0021,Stop 21,merged_cluster,,,0
0021,22.226573,-97.839899,stop_left_0022,Stop 22,merged_cluster,,,0
0022,22.223499,-97.840679,stop_left_0023,Stop 23,merged_cluster,,,0
0023,22.220464,-97.841125,stop_left_0024,Stop 24,merged_cluster,,,0
0024,22.218434,-97.842188,stop_left_0025,Stop 25,merged_cluster,,,0
0025,22.216404,-97.843251,stop_left_0026,Stop 26,merged_cluster,,,0
0026,22.214427,-97.844395,stop_left_0027,Stop 27,merged_cluster,,,0
0029,22.214797,-97.856672,stop_left_0030,Stop 30,merged_cluster,,,0
0030,22.411653,-97.922350,stop_left_0031,Stop 31,merged_cluster,,,0
0031,22.410386,-97.922568,stop_left_0032,Stop 32,merged_cluster,,,0
0032,22.409207,-97.921737,stop_left_0033,Stop 33,merged_cluster,,,0
0033,22.407691,-97.921652,stop_left_0034,Stop 34,merged_cluster,,,0
0034,22.404448,-97.922389,stop_left_0035,Stop 35,merged_cluster,,,0
0035,22.402758,-97.922559,stop_left_0036,Stop 36,merged_cluster,,,0
0036,22.399990,-97.923074,stop_left_0037,Stop 37,merged_cluster,,,0
0037,22.399039,-97.924352,stop_left_0038,Stop 38,merged_cluster,,,0
0039,22.397515,-97.928682,stop_left_0040,Stop 40,merged_cluster,,,0
0040,22.396243,-97.930452,stop_left_0041,Stop 41,merged_cluster,,,0
0041,22.394293,-97.931992,stop_left_0042,Stop 42,merged_cluster,,,0
0042,22.395701,-97.934896,stop_left_0043,Stop 43,merged_cluster,,,0
0043,22.397462,-97.934948,stop_left_0044,Stop 44,merged_cluster,,,0
0045,22.399221,-97.921947,stop_left_0046,Stop 46,merged_cluster,,,0
0046,22.252455,-97.858200,stop_left_0047,Stop 47,merged_cluster,,,0
0047,22.248205,-97.857791,stop_left_0048,Stop 48,merged_cluster,,,0
0048,22.246186,-97.855176,stop_left_0049,Stop 49,merged_cluster,,,0
0049,22.249710,-97.854849,stop_left_0050,Stop 50,merged_cluster,,,0
0050,22.247362,-97.852169,stop_left_0051,Stop 51,merged_cluster,,,0
0051,22.246593,-97.850848,stop_left_0052,Stop 52,merged_cluster,,,0
0052,22.246195,-97.848265,stop_left_0053,Stop 53,merged_cluster,,,0
0053,22.245342,-97.846189,stop_left_0054,Stop 54,merged_cluster,,,0
0054,22.243935,-97.844065,stop_left_0055,Stop 55,merged_cluster,,,0
0056,22.248375,-97.841767,stop_left_0057,Stop 57,merged_cluster,,,0
0057,22.249060,-97.839582,stop_left_0058,Stop 58,merged_cluster,,,0
0058,22.247336,-97.838068,stop_left_0059,Stop 59,merged_cluster,,,0
0059,22.245042,-97.838013,stop_left_0060,Stop 60,merged_cluster,,,0
0060,22.244625,-97.841897,stop_left_0061,Stop 61,merged_cluster,,,0
0061,22.237996,-97.873529,stop_left_0062,Stop 62,merged_cluster,,,0
0062,22.235424,-97.873063,stop_left_0063,Stop 63,merged_cluster,,,0
0063,22.231396,-97.872188,stop_left_0064,Stop 64,merged_cluster,,,0
0064,22.229032,-97.870208,stop_left_0065,Stop 65,merged_cluster,,,0
0065,22.225842,-97.867463,stop_left_0066,Stop 66,merged_cluster,,,0
0066,22.223593,-97.865312,stop_left_0067,Stop 67,merged_cluster,,,0
0067,22.222773,-97.863342,stop_left_0068,Stop 68,merged_cluster,,,0
0068,22.220134,-97.862188,stop_left_0069,Stop 69,merged_cluster,,,0
0069,22.218330,-97.860092,stop_left_0070,Stop 70,merged_cluster,,,0
0070,22.218196,-97.857806,stop_left_0071,Stop 71,merged_cluster,,,0
0071,22.276042,-97.838578,stop_left_0072,Stop 72,merged_cluster,,,0
0072,22.273701,-97.837039,stop_left_0073,Stop 73,merged_cluster,,,0
0076,22.261378,-97.834327,stop_left_0077,Stop 77,merged_cluster,,,0
0077,22.258531,-97.832501,stop_left_0078,Stop 78,merged_cluster,,,0
0078,22.257110,-97.834210,stop_left_0079,Stop 79,merged_cluster,,,0
0079,22.255793,-97.835785,stop_left_0080,Stop 80,merged_cluster,,,0
0080,22.254108,-97.836997,stop_left_0081,Stop 81,merged_cluster,,,0
0081,22.251999,-97.836131,stop_left_0082,Stop 82,merged_cluster,,,0
0082,22.250544,-97.835548,stop_left_0083,Stop 83,merged_cluster,,,0
0083,22.247096,-97.835805,stop_left_0084,Stop 84,merged_cluster,,,0
0084,22.245331,-97.836030,stop_left_0085,Stop 85,merged_cluster,,,0
0085,22.226457,-97.895307,stop_left_0086,Stop 86,merged_cluster,,,0
0086,22.224898,-97.893688,stop_left_0087,Stop 87,merged_cluster,,,0
0087,22.224474,-97.890870,stop_left_0088,Stop 88,merged_cluster,,,0
0088,22.223830,-97.889007,stop_left_0089,Stop 89,merged_cluster,,,0
0089,22.222962,-97.886792,stop_left_0090,Stop 90,merged_cluster,,,0
0090,22.222982,-97.884464,stop_left_0091,Stop 91,merged_cluster,,,0
0091,22.222114,-97.882224,stop_left_0092,Stop 92,merged_cluster,,,0
0092,22.220847,-97.879100,stop_left_0093,Stop 93,merged_cluster,,,0
0093,22.220380,-97.877746,stop_left_0094,Stop 94,merged_cluster,,,0
0094,22.219512,-97.875506,stop_left_0095,Stop 95,merged_cluster,,,0
0095,22.218645,-97.873267,stop_left_0096,Stop 96,merged_cluster,,,0
0096,22.217778,-97.871028,stop_left_0097,Stop 97,merged_cluster,,,0
0097,22.216382,-97.869301,stop_left_0098,Stop 98,merged_cluster,,,0
0098,22.215552,-97.867556,stop_left_0099,Stop 99,merged_cluster,,,0
0099,22.214860,-97.865262,stop_left_0100,Stop 100,merged_cluster,,,0
0101,22.246910,-97.873421,stop_left_0102,Stop 102,merged_cluster,,,0
0102,22.247416,-97.871196,stop_left_0103,Stop 103,merged_cluster,,,0
0103,22.248423,-97.869272,stop_left_0104,Stop 104,merged_cluster,,,0
0104,22.249859,-97.866119,stop_left_0105,Stop 105,merged_cluster,,,0
0105,22.250324,-97.864681,stop_left_0106,Stop 106,merged_cluster,,,0
0106,22.250943,-97.862306,stop_left_0107,Stop 107,merged_cluster,,,0
0107,22.251550,-97.860244,stop_left_0108,Stop 108,merged_cluster,,,0
0108,22.253130,-97.855100,stop_left_0109,Stop 109,merged_cluster,,,0
0109,22.252982,-97.853856,stop_left_0110,Stop 110,merged_cluster,,,0
0110,22.254289,-97.851008,stop_left_0111,Stop 111,merged_cluster,,,0
0111,22.251738,-97.847681,stop_left_0112,Stop 112,merged_cluster,,,0
0112,22.251165,-97.846415,stop_left_0113,Stop 113,merged_cluster,,,0
0114,22.251007,-97.843308,stop_left_0115,Stop 115,merged_cluster,,,0
0115,22.252122,-97.845417,stop_left_0116,Stop 116,merged_cluster,,,0
0116,22.253135,-97.847165,stop_left_0117,Stop 117,merged_cluster,,,0
0117,22.253947,-97.848836,stop_left_0118,Stop 118,merged_cluster,,,0
0118,22.227742,-97.868499,stop_left_0119,Stop 119,merged_cluster,,,0
0119,22.223730,-97.866604,stop_left_0120,Stop 120,merged_cluster,,,0
0120,22.241849,-97.855595,stop_left_0121,Stop 121,merged_cluster,,,0
0121,22.240593,-97.857611,stop_left_0122,Stop 122,merged_cluster,,,0
0122,22.237145,-97.858948,stop_left_0123,Stop 123,merged_cluster,,,0
0123,22.233483,-97.857413,stop_left_0124,Stop 124,merged_cluster,,,0
0124,22.229784,-97.859526,stop_left_0125,Stop 125,merged_cluster,,,0
0125,22.227576,-97.859016,stop_left_0126,Stop 126,merged_cluster,,,0
0126,22.222718,-97.859026,stop_left_0127,Stop 127,merged_cluster,,,0
0127,22.221443,-97.858360,stop_left_0128,Stop 128,merged_cluster,,,0
0128,22.220327,-97.855834,stop_left_0129,Stop 129,merged_cluster,,,0
0129,22.221719,-97.854730,stop_left_0130,Stop 130,merged_cluster,,,0
0130,22.222712,-97.856714,stop_left_0131,Stop 131,merged_cluster,,,0
0131,22.225322,-97.857020,stop_left_0132,Stop 132,merged_cluster,,,0
0132,22.269611,-97.843277,stop_left_0133,Stop 133,merged_cluster,,,0
0133,22.271776,-97.843553,stop_left_0134,Stop 134,merged_cluster,,,0
0134,22.272014,-97.841799,stop_left_0135,Stop 135,merged_cluster,,,0
0135,22.269981,-97.840923,stop_left_0136,Stop 136,merged_cluster,,,0
0136,22.270528,-97.838787,stop_left_0137,Stop 137,merged_cluster,,,0
0137,22.267433,-97.837735,stop_left_0138,Stop 138,merged_cluster,,,0
0138,22.264179,-97.837246,stop_left_0139,Stop 139,merged_cluster,,,0
0139,22.262821,-97.839278,stop_left_0140,Stop 140,merged_cluster,,,0
0140,22.260779,-97.838464,stop_left_0141,Stop 141,merged_cluster,,,0
0141,22.259238,-97.837015,stop_left_0142,Stop 142,merged_cluster,,,0
0142,22.254731,-97.832993,stop_left_0143,Stop 143,merged_cluster,,,0
0144,22.250954,-97.833272,stop_left_0145,Stop 145,merged_cluster,,,0
0145,22.257886,-97.835703,stop_left_0146,Stop 146,merged_cluster,,,0
0146,22.240539,-97.833663,stop_left_0147,Stop 147,merged_cluster,,,0
0147,22.239720,-97.835331,stop_left_0148,Stop 148,merged_cluster,,,0
0148,22.237967,-97.836776,stop_left_0149,Stop 149,merged_cluster,,,0
0149,22.235587,-97.838412,stop_left_0150,Stop 150,merged_cluster,,,0
0150,22.234101,-97.838995,stop_left_0151,Stop 151,merged_cluster,,,0
0151,22.233560,-97.840348,stop_left_0152,Stop 152,merged_cluster,,,0
